German,English
ich,I
sie,sister
das,dash
du,two
nicht,not
die,die
es,yes
was,was
zu,zu
er,oh
in,in
mir,mir
mit,with
wie,how
den,den
mich,mich
auf,up
dass,that
eine,one
so,so
hat,hat
hier,here
haben,have
sind,what
war,war
wenn,if
ihr,my
nein,no
habe,height
bin,bin
noch,notch
da,yes
dir,director
sich,sich
einen,one
uns,uns
dem,dem
kann,can
gut,gut
auch,also
als,ass
mal,bad
jetzt,now
ihn,him
dann,then
aus,aus
um,um
im,I am
wird,word
mein,mine
doch,but
weiß,white
keine,none
s,s
man,either
muss,mousse
werden,become
will,will
ihnen,them
mehr,more
bei,bei
also,also
bitte,please
immer,always
los,go
können,can
sagen,sage
machen,make
danke,thank you
sehr,very
alle,all
